Spanish,English
con,with
para,for
mi,me
estar,be
si,Yes
bien,good
pero,but
yo,me
eso,that
la,the
sí,Yes
su,his
tu,you
aquí ,here
del,of
al,to the
como comer,how to eat.
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
ir,go
muy,very
haber,to have
ahora,now
algo,something
estar,be
tener,have
nos,us
tú,your
nada,any
cuando,when
haber,to have
este,this
saber,to know
estar,be
así,So
poder,can
cómo,What
querer,want
sólo,alone
ser,to be
tener,have
gracias,Thank you
o,or
él,he
bueno,Okay
ser ir,be
ser,to be
hacer,do
ser,to be
todo,everything
ser,to be
ser,to be
vez,time
tener,have
creer,believe
ella,her
haber,to have
ese,that
ir,go
poder,can
saber,to know
hola,hello
su,his
porque,because
dios,God
quién,who
nunca,never
dónde,where
querer,want
casa casar,house to marry
favor,favor
ese,that
dos,two
tanto,so much
señor,Mister
tiempo,weather
verdad,truth
estar,be
mejor,better
estar,be
ir,go
hombre,man
usted,you
mucho,much
hacer,do
entonces,then
sentir sentar,feel together
tener,have
poder,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
señor,Mister
hasta,until
sin,without
mí,my
solo,only
año,year
sobre,about
decir,tell
uno,one
siempre,forever
oh,Oh
ir,go
cosa coser,sew
también,too
antes,before
haber,to have
ni,neither
mi,me
día,day
estar,be
estar,be
noche,night
nadie,no one
otro,other
querer,want
parecer,seem
nosotros,us
poco,little bit
padre,dad
trabajo trabajar,Work work
gente,people
mirar,look at
ir,go
ser,to be
les,them
donde,where
mismo,same
hacer hecho,do
ellos,they
decir,tell
pasar,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,sure
claro,Clear
este,this
lugar,place
mundo,world
amigo,friend
esperar espera,wait wait
mierda,shit
haber,to have
tu,you
saber,to know
después,after
momento,moment
desde,from
fuera ir ser,Outside go be
cosa coser,sew
tipo,type
mañana,morning
poder,can
decir,tell
grande,big
necesitar,need
estar estado,Be a state
poder,can
acordar acuerdo,agree on agreement
papá,father
tener,have
decir,tell
mío,Own
creer,believe
bueno buena,good good
gustar,like
nuestro,our
nuevo,new
ser,to be
hacer,do
día,day
nombre,Name
bueno,Okay
haber,to have
ver venir,see ahead
tres,three
menos,less
deber,must
tener,have
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
ser,to be
mamá,mother
tener,have
luego,later
todo,everything
allí,there
todo,everything
hora,hour
mujer,woman
ver,see
hacer,do
importar,to import
contigo,with you
ver ir,see
tarde tardar,Tarday afternoon
oír,hear
partir parte,I share a part
haber,to have
hombre,man
problema,trouble
mas,more
saber,to know
querer,want